time,accident num,accident type,holiday,percipitation,visibility,wind,wind direction,fog,rain,sun rise,sun set
04:00 15/01/2011,0,NONE,0,0,10,9.22,70,0,0,1,0
08:00 15/01/2011,0,NONE,0,0,10,12.66,70,0,0,0,0
12:00 15/01/2011,0,NONE,0,0,10,11.5,80,0,0,0,0
16:00 15/01/2011,0,NONE,0,0,10,10.36,60,0,0,0,1
20:00 15/01/2011,0,NONE,0,0,10,10.36,80,0,0,0,0
00:00 16/01/2011,0,NONE,0,0,10,6.91,110,0,0,0,0
04:00 16/01/2011,0,NONE,0,0,10,0,0,0,0,1,0
08:00 16/01/2011,0,NONE,0,0,10,11.5,80,0,0,0,0
12:00 16/01/2011,0,NONE,0,0,10,11.5,120,0,0,0,0
16:00 16/01/2011,0,NONE,0,0,10,11.5,100,0,0,0,1
20:00 16/01/2011,0,NONE,0,0,10,10.36,120,0,0,0,0
00:00 17/01/2011,0,NONE,1,0,10,11.5,130,0,0,0,0
04:00 17/01/2011,0,NONE,1,0,10,14.97,140,0,0,1,0
08:00 17/01/2011,0,NONE,1,0.001,10,17.27,160,0,1,0,0
12:00 17/01/2011,0,NONE,1,0,2,17.27,160,1,1,0,0
16:00 17/01/2011,0,NONE,1,0,5,4.61,230,1,2,0,1
20:00 17/01/2011,0,NONE,1,0,10,9.22,150,0,1,0,0
00:00 18/01/2011,0,NONE,0,0,10,4.61,200,0,0,0,0
04:00 18/01/2011,1,A1,0,0,9,5.75,220,0,0,1,0
08:00 18/01/2011,0,NONE,0,0,1,9.22,230,1,0,0,0
12:00 18/01/2011,0,NONE,0,0.001,10,12.66,250,0,1,0,0
16:00 18/01/2011,0,NONE,0,0,10,10.36,260,0,0,0,1
20:00 18/01/2011,0,NONE,0,0,9,5.75,200,0,0,0,0
00:00 19/01/2011,0,NONE,0,0,0.5,5.75,230,1,0,0,0
04:00 19/01/2011,0,NONE,0,0,1.25,11.5,220,1,1,1,0
08:00 19/01/2011,0,NONE,0,0,2.5,12.66,250,1,0,0,0
12:00 19/01/2011,0,NONE,0,0,10,17.27,250,0,0,0,0
16:00 19/01/2011,0,NONE,0,0,10,13.8,260,0,0,0,1
